LoggerID,Date,TimeStamp,1,2,3,4
4,5/7/2019,10:57:49.0,18.75,17.25,26.5,23.8
4,5/7/2019,10:57:50.0,18.75,17.25,26.5,23.8
4,5/7/2019,10:57:50.1,18.75,17.25,26.5,23.8
4,5/7/2019,10:57:51.0,18.75,17,26.75,24.12
4,5/7/2019,10:57:51.1,18.75,17,26.5,23.48
4,5/7/2019,10:57:52.0,18.75,16.75,26.75,23.8
4,5/7/2019,10:57:52.1,18.75,17,26.5,23.8
4,5/7/2019,10:57:53.0,19,17,26.5,23.8
4,5/7/2019,10:57:53.1,19,17,26.5,23.8
4,5/7/2019,10:57:54.0,19,17.25,26.5,24.12
4,5/7/2019,10:57:55.0,19,17,26.5,23.8
4,5/7/2019,10:57:55.1,18.75,16.75,26.5,24.12
4,5/7/2019,10:57:56.0,18.75,16.75,26.5,23.8
4,5/7/2019,10:57:56.1,18.75,17,26.5,24.12
4,5/7/2019,10:57:57.0,18.75,17,26.75,23.48
4,5/7/2019,10:57:57.1,18.75,17,26.75,23.48
4,5/7/2019,10:57:58.0,18.75,17,26.5,23.48
4,5/7/2019,10:57:58.1,18.75,17,26.75,23.8
4,5/7/2019,10:57:59.0,18.75,17,26.5,23.48
4,5/7/2019,10:57:59.1,18.75,17,26.5,24.12
4,5/7/2019,10:58:00.0,18.75,17,26.75,24.12
4,5/7/2019,10:58:01.0,18.75,16.75,26.5,23.48
4,5/7/2019,10:58:01.1,18.75,17,26.75,23.8
4,5/7/2019,10:58:02.0,18.75,17.25,26.75,23.8
4,5/7/2019,10:58:02.1,18.5,17.5,26.75,23.48
4,5/7/2019,10:58:03.0,18.75,17.25,26.5,23.8
4,5/7/2019,10:58:03.1,18.75,17.25,26.75,23.8
4,5/7/2019,10:58:04.0,18.75,17.25,26.75,23.48
4,5/7/2019,10:58:04.1,18.75,17.25,26.75,23.8
4,5/7/2019,10:58:05.0,18.75,17.5,26.75,23.8
4,5/7/2019,10:58:05.1,18.75,17.5,26.5,23.8
4,5/7/2019,10:58:06.0,18.75,17.5,26.5,23.8
4,5/7/2019,10:58:07.0,18.75,17.75,26.75,23.8
4,5/7/2019,10:58:07.1,18.75,17.5,26.75,23.8
4,5/7/2019,10:58:08.0,18.75,17.75,26.75,23.48
4,5/7/2019,10:58:08.1,18.75,17.75,26.75,23.8
4,5/7/2019,10:58:09.0,18.75,18,27,23.8
4,5/7/2019,10:58:09.1,19,18,27,23.48
4,5/7/2019,10:58:10.0,19,18,27,23.8
4,5/7/2019,10:58:10.1,19,18,27,23.8
4,5/7/2019,10:58:11.0,19,18,27,23.8
4,5/7/2019,10:58:11.1,19.25,18,27,23.8
4,5/7/2019,10:58:12.0,19.25,17.75,27,23.8
4,5/7/2019,10:58:13.0,19,17.5,27,23.8
4,5/7/2019,10:58:13.1,19,17.5,27,23.8
4,5/7/2019,10:58:14.0,19,17.5,27,23.8
4,5/7/2019,10:58:14.1,18.75,17.5,27,23.48
4,5/7/2019,10:58:15.0,18.75,17.75,27,23.8
4,5/7/2019,10:58:15.1,18.75,17.5,27,23.48
4,5/7/2019,10:58:16.0,18.75,17.5,27,23.48
4,5/7/2019,10:58:16.1,18.75,17.5,27,24.12
4,5/7/2019,10:58:17.0,18.75,17.25,27.25,23.48
4,5/7/2019,10:58:17.1,18.75,17.25,27.25,23.48
4,5/7/2019,10:58:18.0,18.75,17.25,27,23.8
4,5/7/2019,10:58:19.0,18.75,17.5,27,23.48
4,5/7/2019,10:58:19.1,18.75,17.5,27.25,23.48
4,5/7/2019,10:58:20.0,18.75,17.5,27.25,23.48
4,5/7/2019,10:58:20.1,18.75,17.75,27.5,23.8
4,5/7/2019,10:58:21.0,18.75,17.75,27.5,23.48
4,5/7/2019,10:58:21.1,18.75,17.75,27.5,23.8
4,5/7/2019,10:58:22.0,18.75,17.75,27.75,23.48
4,5/7/2019,10:58:22.1,18.75,17.75,27.75,23.8
4,5/7/2019,10:58:23.0,18.75,17.75,27.75,23.48
4,5/7/2019,10:58:23.1,18.75,17.75,27.75,23.48
4,5/7/2019,10:58:24.0,18.75,17.75,27.75,23.48
4,5/7/2019,10:58:25.0,18.75,17.75,27.75,23.8
4,5/7/2019,10:58:25.1,18.75,17.75,27.75,23.8
4,5/7/2019,10:58:26.0,18.75,17.75,27.75,23.8
4,5/7/2019,10:58:26.1,19,17.75,27.75,23.48
4,5/7/2019,10:58:27.0,18.75,17.75,28,23.8
4,5/7/2019,10:58:27.1,18.75,17.75,28,23.8
4,5/7/2019,10:58:28.0,19,17.75,28,23.8
4,5/7/2019,10:58:28.1,19,17.75,28,23.8
4,5/7/2019,10:58:29.0,19,17.75,28.25,23.8
4,5/7/2019,10:58:29.1,19,17.5,28,23.8
4,5/7/2019,10:58:30.0,19,17.5,28.25,23.8
4,5/7/2019,10:58:31.0,19,17.5,28.25,23.48
4,5/7/2019,10:58:31.1,19.25,17.75,28.25,23.8
4,5/7/2019,10:58:32.0,19.25,17.75,28.25,23.8
4,5/7/2019,10:58:32.1,19.25,17.75,28.25,23.8
4,5/7/2019,10:58:33.0,19.25,18,28.25,23.48
4,5/7/2019,10:58:33.1,19.25,18.25,28.5,23.48
4,5/7/2019,10:58:34.0,19.25,18.25,28.5,23.8
4,5/7/2019,10:58:34.1,19.25,18.25,28.5,23.8
4,5/7/2019,10:58:35.0,19.25,18.25,28.5,23.8
4,5/7/2019,10:58:35.1,19.5,18.5,28.75,23.8
4,5/7/2019,10:58:36.0,19.5,18.5,28.75,23.48
4,5/7/2019,10:58:37.0,19.5,18.5,28.75,23.15
4,5/7/2019,10:58:37.1,19.5,18.25,28.75,23.48
4,5/7/2019,10:58:38.0,19.75,18.5,28.75,23.48
4,5/7/2019,10:58:38.1,19.5,18.5,28.5,23.48
4,5/7/2019,10:58:39.0,19.75,18.5,28.5,23.48
4,5/7/2019,10:58:39.1,19.5,18.5,28.75,23.48
4,5/7/2019,10:58:40.0,19.5,18.5,28.75,23.48
4,5/7/2019,10:58:40.1,19.5,18.5,29,23.48
4,5/7/2019,10:58:41.0,19.5,18.5,28.75,23.48
4,5/7/2019,10:58:41.1,19.75,18.5,28.75,23.8
4,5/7/2019,10:58:42.0,19.75,18.5,28.75,23.15
4,5/7/2019,10:58:43.0,19.5,18.5,28.75,23.8
