FireCode,location,block,pasture,patch,year,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,RH,WindSpeed,VPD,ros,SoilMaxC,tHa
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,1,3,11.21,-5.22,NA,0.19666666666666668,173.16666666666666,31.57,19.86,9.172174349680589,30.000000000027278,28.31,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,2,1,11.21,-5.22,NA,0.48333333333333334,336.9166666666667,31.57,19.86,9.172174349680589,12.990381056756242,255.25,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,2,3,11.21,-5.22,NA,0.43333333333333335,381.8333333333333,31.57,19.86,9.172174349680589,8.320502943377273,24.77,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,3,1,11.21,-5.22,NA,0.14,144.75,31.57,19.86,9.172174349680589,0.5992414409582991,170,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,3,3,11.21,-5.22,NA,0.18333333333333335,157.08333333333334,31.57,19.86,9.172174349680589,0.8626770466865323,178.75,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,1,1,7.95,-4.26,NA,0.6433333333333333,294.4166666666667,42.39,15.59,6.238550053362813,11.338934190270555,190.5,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,1,2,7.95,-4.26,NA,0.61,176.08333333333334,42.39,15.59,6.238550053362813,1.64563798361611,364,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,1,3,7.95,-4.26,NA,0.34,321.1666666666667,42.39,15.59,6.238550053362813,10.000000000009093,96.5,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,2,1,7.95,-4.26,NA,0.7000000000000001,216.4,42.39,15.59,6.238550053362813,2.4743582965268067,21.22,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,2,3,7.95,-4.26,NA,0.3566666666666667,275.75,42.39,15.59,6.238550053362813,2.669084216372624,22.19,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,3,1,7.95,-4.26,NA,0.5533333333333333,436,42.39,15.59,6.238550053362813,4.505635568897266,91.75,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,3,3,7.95,-4.26,NA,0.4766666666666667,293.0833333333333,42.39,15.59,6.238550053362813,9.33256525257102,21.54,NA
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,1,1,16.94,4.08,66.38,0.83,231.5,42.5,10.08,11.128160252292444,0.619864700597741,201.5,1.4768
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,2,1,15.73,3.75,59.17666666666667,0.85,303.5833333333333,44.96,8.91,9.883664929651317,5.447047794017438,27.02,0.9984
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,2,2,15.73,3.75,52.22666666666667,1.02,322.1666666666667,44.96,8.91,9.883664929651317,6.3481105427244335,27.99,1.3610666666666666
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,2,3,15.73,3.75,49.626666666666665,0.69,286.1666666666667,44.96,8.91,9.883664929651317,4.505635568895421,120,1.2255999999999998
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,3,2,15.73,3.75,45.75,0.9033333333333333,306.8333333333333,44.96,8.91,9.883664929651317,9.999999999997724,250.75,1.7413333333333334
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,3,3,15.73,3.75,52.34,0.97,257,44.96,8.91,9.883664929651317,14.411533842452044,19.29,1.7226666666666668
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,1,1,17.93,3.82,116.50666666666667,0.3833333333333333,213.83333333333334,39.24,9.85,12.52236540907131,4.574957109977583,225.5,0.704
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,1,2,17.93,3.82,64.72666666666666,0.9133333333333333,101.16666666666667,39.24,9.85,12.52236540907131,1.0797236261230212,239.25,1.8218666666666667
