FireCode,location,block,pasture,patch,year,JD,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,MaxWindSpeed,WindSpeed,RH,VPD,ros,SoilMaxC,tHa
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,3,1,11.21,-5.22,NA,0.14,144.75,30.86,19.86,31.57,9.17217435,0.599241441,170,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,3,2,11.88,-4.27,NA,0.38,171.88,30.86,20.45,32.38,9.47,2.69407953,48,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,3,3,11.21,-5.22,NA,0.183333333,157.0833333,30.86,19.86,31.57,9.17217435,0.862677047,178.75,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,1,1,7.95,-4.26,NA,0.643333333,294.4166667,26,15.59,42.39,6.238550053,11.33893419,190.5,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,1,2,7.95,-4.26,NA,0.61,176.0833333,26,15.59,42.39,6.238550053,1.645637984,364,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,1,3,7.95,-4.26,NA,0.34,321.1666667,26,15.59,42.39,6.238550053,10,96.5,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,2,1,7.95,-4.26,NA,0.7,216.4,26,15.59,42.39,6.238550053,2.474358297,21.22,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,2,3,7.95,-4.26,NA,0.356666667,275.75,26,15.59,42.39,6.238550053,2.669084216,22.19,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,3,1,7.95,-4.26,NA,0.553333333,436,26,15.59,42.39,6.238550053,4.505635569,91.75,NA
H.Cle.Cl.NE.17,H,Cle,Cl,NE,17,301,3,3,7.95,-4.26,NA,0.476666667,293.0833333,26,15.59,42.39,6.238550053,9.332565253,21.54,NA
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,1,1,16.94,4.08,66.38,0.83,231.5,19.34,10.08,42.5,11.12816025,0.619864701,201.5,1.4768
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,2,1,15.73,3.75,59.17666667,0.85,303.5833333,20.78,8.91,44.96,9.88366493,5.447047794,27.02,0.9984
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,2,2,15.73,3.75,52.22666667,1.02,322.1666667,20.78,8.91,44.96,9.88366493,6.348110543,27.99,1.361066667
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,2,3,15.73,3.75,49.62666667,0.69,286.1666667,20.78,8.91,44.96,9.88366493,4.505635569,120,1.2256
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,3,2,15.73,3.75,45.75,0.903333333,306.8333333,20.78,8.91,44.96,9.88366493,10,250.75,1.741333333
H.Cle.Cl.NO.18,H,Cle,Cl,NO,18,291,3,3,15.73,3.75,52.34,0.97,257,20.78,8.91,44.96,9.88366493,14.41153384,19.29,1.722666667
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,291,1,1,17.93,3.82,116.5066667,0.383333333,213.8333333,19.94,9.85,39.24,12.52236541,4.57495711,225.5,0.704
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,291,1,2,17.93,3.82,64.72666667,0.913333333,101.1666667,19.94,9.85,39.24,12.52236541,1.079723626,239.25,1.821866667
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,291,2,3,18.42,3.69,61.08,0.96,296.3333333,20.3,9.38,37.65,13.23790548,2.049162481,53.75,1.3056
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,291,3,1,18.09333333,3.776666667,91.13,0.4,105.3333333,20.06,9.693333333,38.71,12.75902544,0.097580198,237,0.965866667
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,291,3,2,17.93,3.82,85.62,0.656666667,216.4166667,19.94,9.85,39.24,12.52236541,2.474358297,26.38,1.5488
H.Day.NW.NA.19,H,Day,NW,NA,19,280,1,2,13.65,1.11,72.82666667,2.79,218.5,16.32,7.88,42.6,9.009596666,0.258300955,NA,3.152533333
H.Day.NW.NA.19,H,Day,NW,NA,19,280,1,3,13.65,1.11,65.73,1.783333333,345.4166667,16.32,7.88,42.6,9.009596666,3.056560249,NA,3.599466667
H.Day.NW.NA.19,H,Day,NW,NA,19,280,2,1,13.65,1.11,102.2666667,3.66,182.3333333,16.32,7.88,42.6,9.009596666,0.34946779,NA,2.9504
H.Day.NW.NA.19,H,Day,NW,NA,19,280,2,2,13.65,1.11,61.96,2.37,293.63,16.32,7.88,42.6,9.009597,NA,NA,3.1184
H.Day.NW.NA.19,H,Day,NW,NA,19,280,2,3,13.65,1.11,47.56666667,2.65,303.4166667,16.32,7.88,42.6,9.009596666,0.291491191,NA,3.317866667
H.Day.NW.NA.19,H,Day,NW,NA,19,280,3,1,14.12,1.11,57.97,1.446666667,228.1666667,17.02,9.19,41.15,9.494128444,0.974354704,NA,1.9264
H.Day.NW.NA.19,H,Day,NW,NA,19,280,3,2,14.12,1.11,44.11,1.3,143.38,17.02,9.19,41.15,9.494128444,1.361761949,NA,1.44373
H.Day.NW.NA.19,H,Day,NW,NA,19,280,3,3,14.12,1.11,71.35333333,2.613333333,278.5833333,17.02,9.19,41.15,9.494128444,1.534264276,NA,2.280533333
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,300,1,1,6.23,-20.67,NA,0.806666667,216.25,18.14,10,13,8.3279711,3.711537445,388.5,NA
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,300,1,2,6.23,-20.67,NA,0.74,188.4166667,18.14,10,13,8.3279711,0.727820972,20.25,NA
